district_name,apartments,apartments_with_1_room,apartments_with_2_rooms,apartments_with_3_rooms,apartments_with_4_rooms,apartments_with_5_rooms,apartments_with_6_rooms,apartments_with_7_or_more_apartments,apartments_with_7_or_more_rooms,rooms,apartments_living_area,non_residential_building_apartments,non_residential_building_living_area
,Anzahl,,,,,,,,,,100 m²,Anzahl,100 m²
Mitte,198948,12702,45908,71896,48072,15620,3306,1444,11310,621740,134007,5217,4284
Friedrichsh.-Kreuzberg,153614,9218,35420,55760,37335,12104,2635,1142,8965,481973,105880,3148,2511
Pankow,217872,7591,38406,76800,59024,24560,7619,3872,30564,749977,158997,3737,2727
Charlottenb.-Wilmersd.,185828,8834,35097,61052,47403,19815,7923,5704,46356,644765,146259,4622,4398
Spandau,120274,3028,17793,42250,34087,14297,5184,3635,29303,433604,89291,1440,1139
Steglitz-Zehlendorf,158166,7221,22300,44866,41529,21586,10477,10187,83820,607147,134968,2043,1850
Tempelh.-Schöneberg,182092,8279,33643,60150,47904,19881,7401,4834,37888,629330,136593,2497,2147
Neukölln,164275,8021,37068,56934,38179,16001,5312,2760,21765,539317,114741,1926,1480
Treptow-Köpenick,143371,5671,22294,47032,41362,17308,6263,3441,27259,508180,104589,1698,1269
