id,planning_area_name,inhabitants,apartments,apartments_with_1_room,apartments_with_2_rooms,apartments_with_3_rooms,apartments_with_4_rooms,apartments_with_5_rooms,apartments_with_6_rooms,apartments_with_7_or_more_apartments,apartments_with_7_rooms_or_more,apartments_rooms,apartments_living_area,residential_buildings,residential_buildings_living_area,residential_buildings_apartments,residential_buildings_with_1_apartment,residential_buildings_with_1_apartment_living_area,residential_buildings_with_2_apartments,residential_buildings_with_2_apartments_living_area,residential_buildings_with_2_apartments_apartments,residential_buildings_with_3_apartments,residential_buildings_with_3_apartments_living_area,residential_buildings_with_3_apartments_apartments
01011101,Stülerstraße,2288,451,393,654,450,249,59,32,233,6831,1412,108,1338,1987,11,15,1,3,2,96,1320,1974,1011101
01011102,Großer Tiergarten,181,107,26,19,16,7,6,–,–,351,90,7,84,174,–,–,1,2,2,6,82,172,1011102
01011103,Lützowstraße,2795,124,531,1175,584,228,86,67,546,9249,2145,235,1734,2246,17,19,38,83,76,180,1632,2153,1011103
01011104,Körnerstraße,2014,206,413,620,517,179,55,24,182,6367,1504,133,1317,1622,2,3,3,4,6,128,1311,1614,1011104
01011105,Nördlicher Landwehrkanal,1060,45,161,329,295,155,51,24,185,3800,1078,46,1040,1010,–,–,1,1,2,45,1039,1008,1011105
01011201,Wilhelmstraße,1461,58,146,150,611,476,10,10,77,5761,1231,75,1079,1333,–,–,–,–,–,75,1079,1333,1011201
01011202,Unter den Linden Nord,413,11,71,150,96,61,16,8,76,1464,428,30,283,305,2,3,2,5,4,26,275,299,1011202
01011203,Unter den Linden Süd,671,44,160,165,176,94,23,9,82,2253,605,45,428,506,6,21,2,5,4,37,402,496,1011203
01011204,Leipziger Straße,5018,343,1149,1461,1296,505,140,124,951,16524,3772,182,3593,4859,19,51,16,47,32,147,3494,4808,1011204
01011301,Charitéviertel,4589,271,1196,1695,845,425,93,64,487,14298,3556,294,3153,4077,16,23,10,21,20,268,3109,4041,1011301
01011302,Oranienburger Straße,7193,266,1350,2265,2053,884,258,117,949,24890,5781,660,5239,6594,28,33,14,40,28,618,5166,6538,1011302
01011303,Alexanderplatzviertel,6172,632,1660,1560,1741,460,89,30,221,18651,3791,280,3523,5856,3,6,6,12,12,271,3505,5841,1011303
01011304,Karl–Marx–Allee,4787,25,689,1643,1793,616,11,10,85,16735,3098,195,3096,4785,–,–,–,–,–,195,3096,4785,1011304
01011305,Heine–Viertel West,4871,168,883,2190,1091,476,53,10,75,15641,3063,219,2982,4785,2,2,1,1,2,216,2980,4781,1011305
01011306,Heine–Viertel Ost,5215,323,1103,1406,1679,611,61,32,240,17124,3507,270,3385,4911,11,17,3,6,6,256,3362,4894,1011306
01011401,Invalidenstraße,9673,437,2366,3490,2413,668,202,97,737,30580,7257,724,7037,9400,40,60,9,18,18,675,6959,9342,1011401
