district_name,apartments,rooms,rooms_per_apartment,living_area,living_area_per_apartment
Spandau,127104,435975,3.4,93774,73.8
Steglitz-Zehlendorf,162132,600116,3.7,137717,84.9
Tempelhof-Schöneberg,186905,621805,3.3,137332,73.5
Neukölln,167606,542692,3.2,116800,69.7
Treptow-Köpenick,153902,534774,3.5,111545,72.5
Marzahn-Hellersdorf,142848,514038,3.6,103271,72.3
Lichtenberg,164320,545707,3.3,106738,65
Reinickendorf,132818,479883,3.6,102799,77.4
Berlin,2028467,6798004,3.4,1472855,72.6
_____,,,,,
"1 in Wohn- und Nichtwohngebäuden, einschließlich Wohnheime",,,,,
