id,inhabitants,apartments,apartments_with_1_room,apartments_with_2_rooms,apartments_with_3_rooms,apartments_with_4_rooms,apartments_with_5_rooms,apartments_with_6_rooms,apartments_with_7_or_more_apartments,apartments_with_7_rooms_or_more,apartments_rooms,apartments_living_area,residential_buildings,residential_buildings_living_area,residential_buildings_apartments,residential_buildings_with_1_apartment,residential_buildings_with_1_apartment_living_area,residential_buildings_with_2_apartments,residential_buildings_with_2_apartments_living_area,residential_buildings_with_2_apartments_apartments,residential_buildings_with_3_apartments,residential_buildings_with_3_apartments_living_area,residential_buildings_with_3_apartments_apartments
10010001,3021,0.0,454,744,1374.0,395,47.0,7.0,53.0,10946,1870,364,1866,3014,108.0,106.0,9.0,13.0,18.0,247.0,1747.0,2888.0,10010001
10010102,9243,19.0,1878,1867,3765.0,1377,325.0,12.0,96.0,33367,5801,479,5792,9231,1.0,2.0,1.0,1.0,2.0,477.0,5789.0,9228.0,10010102
10010203,6,0.0,1,2,0.0,1,1.0,1.0,7.0,26,10,1,1,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10010203
10010204,5354,55.0,735,970,1927.0,1272,369.0,26.0,193.0,20910,3493,258,3486,5343,0.0,0.0,1.0,2.0,2.0,257.0,3484.0,5341.0,10010204
10010205,4768,165.0,940,1220,1711.0,628,100.0,4.0,32.0,16321,2884,245,2883,4767,0.0,0.0,0.0,0.0,0.0,245.0,2883.0,4767.0,10010205
10010206,9679,336.0,1453,2728,2605.0,1781,733.0,43.0,318.0,35467,6059,476,4803,7584,172.0,193.0,13.0,27.0,26.0,291.0,4583.0,7386.0,10010206
10010207,5792,10.0,1055,1269,2275.0,964,219.0,0.0,0.0,21161,3742,108,2131,3430,0.0,0.0,1.0,2.0,2.0,107.0,2130.0,3428.0,10010207
10010308,975,5.0,86,209,222.0,256,121.0,76.0,578.0,4276,883,537,805,872,451.0,536.0,47.0,76.0,94.0,39.0,194.0,327.0,10010308
10010309,8336,95.0,1172,2598,2438.0,1544,416.0,73.0,520.0,30721,5174,248,5174,8336,1.0,2.0,1.0,3.0,2.0,246.0,5169.0,8333.0,10010309
10010310,9614,43.0,1289,2089,3546.0,2058,478.0,111.0,849.0,37079,6671,1262,6639,9582,810.0,910.0,63.0,104.0,126.0,389.0,5625.0,8646.0,10010310
10010311,1409,83.0,106,939,184.0,70,22.0,5.0,45.0,4375,1059,156,1003,1291,1.0,1.0,0.0,0.0,0.0,155.0,1002.0,1290.0,10010311
10020412,3302,660.0,709,947,699.0,264,13.0,10.0,83.0,9196,2082,160,2081,3301,20.0,24.0,1.0,2.0,2.0,139.0,2055.0,3279.0,10020412
10020413,8751,859.0,1696,3847,1972.0,343,25.0,9.0,77.0,25622,5160,747,5158,8749,8.0,8.0,7.0,8.0,14.0,732.0,5142.0,8727.0,10020413
10020414,863,60.0,301,247,225.0,14,0.0,16.0,112.0,2485,535,79,528,852,3.0,3.0,0.0,0.0,0.0,76.0,525.0,849.0,10020414
10020415,2774,61.0,459,765,1050.0,417,20.0,2.0,17.0,9696,1710,234,1707,2768,0.0,0.0,0.0,0.0,0.0,234.0,1707.0,2768.0,10020415
10020416,2820,55.0,421,830,1131.0,353,24.0,6.0,56.0,9876,1759,244,1758,2818,1.0,1.0,0.0,0.0,0.0,243.0,1757.0,2817.0,10020416
10020517,5001,123.0,473,1355,1642.0,1135,257.0,16.0,115.0,19034,3230,443,3229,5000,2.0,2.0,1.0,2.0,2.0,440.0,3226.0,4996.0,10020517
10020518,2540,361.0,483,1144,521.0,24,4.0,3.0,23.0,7010,1637,216,1637,2540,17.0,19.0,1.0,2.0,2.0,198.0,1616.0,2521.0,10020518
10020519,2934,209.0,197,712,1222.0,517,70.0,7.0,63.0,10695,1739,243,1686,2725,0.0,0.0,1.0,1.0,2.0,242.0,1685.0,2723.0,10020519
10020620,2025,43.0,167,601,993.0,204,13.0,4.0,29.0,7279,1175,217,1170,2018,45.0,53.0,0.0,0.0,0.0,172.0,1116.0,1973.0,10020620
10020621,3323,571.0,659,1344,655.0,89,3.0,2.0,19.0,9023,2043,233,2043,3323,1.0,2.0,0.0,0.0,0.0,232.0,2041.0,3322.0,10020621
10020622,4516,10.0,413,1051,1982.0,949,92.0,19.0,143.0,17357,2698,403,2698,4516,37.0,47.0,3.0,5.0,6.0,363.0,2646.0,4473.0,10020622
10020623,3610,437.0,902,1415,738.0,115,2.0,1.0,8.0,10033,2316,220,2316,3610,10.0,10.0,0.0,0.0,0.0,210.0,2306.0,3600.0,10020623
10030724,3886,414.0,222,595,1186.0,802,425.0,242.0,1842.0,15789,3403,2230,3232,3367,1847.0,2062.0,213.0,365.0,426.0,170.0,805.0,1094.0,10030724
10030725,3298,7.0,338,1235,1002.0,470,205.0,41.0,326.0,12302,2107,569,2102,3293,365.0,400.0,25.0,46.0,50.0,179.0,1656.0,2878.0,10030725
10030726,1283,4.0,48,335,328.0,325,158.0,85.0,644.0,5634,1196,853,1153,1238,749.0,808.0,51.0,87.0,102.0,53.0,258.0,387.0,10030726
