id,inhabitants,apartments,apartments_with_1_room,apartments_with_2_rooms,apartments_with_3_rooms,apartments_with_4_rooms,apartments_with_5_rooms,apartments_with_6_rooms,apartments_with_7_or_more_apartments,apartments_with_7_rooms_or_more,apartments_rooms,apartments_living_area,residential_buildings,residential_buildings_living_area,residential_buildings_apartments,residential_buildings_with_1_apartment,residential_buildings_with_1_apartment_living_area,residential_buildings_with_2_apartments,residential_buildings_with_2_apartments_living_area,residential_buildings_with_2_apartments_apartments,residential_buildings_with_3_apartments,residential_buildings_with_3_apartments_living_area,residential_buildings_with_3_apartments_apartments
08010115,401,9,61,176,78,46,23,8,67,1406,341,27,326,388,–,–,–,–,–,27,326,388,8010115
08010116,1954,369,450,690,325,87,25,8,66,5290,1214,109,1159,1875,2,3,3,5,6,104,1151,1867,8010116
08010117,8884,499,2836,3635,1375,431,78,30,229,25428,5381,570,5307,8791,3,2,–,–,–,567,5305,8788,8010117
08010118,5560,402,1477,2261,1042,261,84,33,255,16371,3522,374,3501,5531,7,6,3,5,6,364,3491,5518,8010118
08010211,4876,188,1328,2036,920,304,77,23,181,14795,3274,311,3122,4623,2,2,3,4,6,306,3116,4615,8010211
08010212,3327,414,1128,1168,465,122,24,6,46,8834,2243,202,2190,3253,5,8,1,2,2,196,2180,3246,8010212
08010213,6344,317,1987,2355,1229,349,86,21,168,18701,4041,469,3976,6252,1,1,–,–,–,468,3975,6251,8010213
08010214,3681,160,728,1594,901,212,60,26,195,11617,2439,353,2332,3523,6,6,2,6,4,345,2320,3513,8010214
08010301,14855,953,4109,5847,2780,892,187,87,690,44104,9814,1005,9647,14646,7,5,4,5,8,994,9637,14631,8010301
08010302,2218,15,480,951,627,129,14,2,15,7080,1352,165,1346,2203,–,–,–,–,–,165,1346,2203,8010302
08010303,4158,273,1001,1661,846,291,63,23,189,12664,2748,283,2665,4041,10,8,1,1,2,272,2656,4029,8010303
08010404,11540,551,2899,4597,2472,756,200,65,516,35524,7829,854,7631,11273,31,35,10,21,20,813,7576,11222,8010404
08010405,4596,148,972,1871,1136,413,45,11,88,14672,2999,342,2998,4595,2,1,1,2,2,339,2995,4591,8010405
08010406,3474,93,937,1547,681,190,20,6,52,10454,2070,235,2001,3361,4,5,1,1,2,230,1995,3355,8010406
08010407,473,37,121,204,82,26,3,–,–,1367,279,20,275,469,–,–,–,–,–,20,275,469,8010407
08010508,2399,153,319,286,645,822,163,11,83,9400,1500,166,1468,2262,41,46,5,8,10,120,1414,2211,8010508
08010509,3960,387,1207,1095,951,284,33,3,22,11530,2491,510,2384,3733,184,180,14,20,28,312,2183,3521,8010509
08010510,174,41,47,48,20,7,7,4,35,471,124,21,93,146,2,1,4,9,8,15,83,136,8010510
08020619,5491,312,1349,2173,1153,391,80,33,309,16885,3409,683,3275,5217,158,147,16,29,32,509,3099,5027,8020619
08020620,4792,196,1058,2119,1161,196,38,24,195,14716,3035,494,2993,4695,35,41,14,26,28,445,2927,4632,8020620
08020621,980,3,30,140,252,258,178,119,936,4785,1055,743,1050,974,653,785,46,86,92,44,179,229,8020621
08020622,7893,222,2221,3150,1366,530,345,59,455,24753,5044,2065,4996,7812,1183,1119,67,90,134,815,3787,6495,8020622
08020623,593,3,197,163,138,55,30,7,54,1947,435,219,422,577,155,126,3,10,6,61,287,416,8020623
08020624,605,–,5,245,151,151,32,21,173,2469,501,289,497,603,235,281,9,16,18,45,199,350,8020624
08020625,1904,161,608,283,336,274,152,90,687,6539,1321,786,1310,1891,711,762,25,46,50,50,502,1130,8020625
08020726,4269,145,649,1314,1275,524,198,164,1261,15554,3336,1656,3312,4242,1210,1292,78,138,156,368,1882,2876,8020726
08020727,5795,127,844,1491,1805,1057,333,138,1072,21863,4436,1427,4328,5578,919,1044,59,114,118,449,3170,4541,8020727
08020728,4519,384,1125,936,1293,474,159,148,1160,15098,3143,1012,3123,4489,757,866,56,103,112,199,2154,3620,8020728
08030829,6336,337,1455,1907,2091,481,34,31,247,20188,4274,398,4273,6335,83,111,3,6,6,312,4157,6246,8030829
08030830,4245,488,1090,1706,779,149,26,7,66,11869,2804,193,2803,4244,8,10,2,4,4,183,2789,4232,8030830
08030831,8413,84,1575,2907,2799,968,65,15,122,28503,5870,285,5836,8367,47,48,–,–,–,238,5788,8320,8030831
08040932,1504,2,337,265,628,223,48,1,7,5393,1047,85,956,1321,2,3,–,–,–,83,953,1319,8040932
08040933,2111,76,219,673,662,265,130,86,672,7958,1667,654,1646,2085,418,507,60,119,120,176,1020,1547,8040933
08040934,1246,23,141,315,345,198,122,102,802,5154,1129,590,1124,1239,450,554,58,114,116,82,457,673,8040934
08041035,3492,59,203,567,906,889,506,362,2924,16195,3619,2563,3546,3414,2156,2554,264,480,528,143,512,730,8041035
08041036,3036,9,138,574,813,788,411,303,2350,14015,2990,2140,2949,2984,1847,2075,179,328,358,114,545,779,8041036
08041037,4995,125,731,1317,1469,793,332,228,1819,19190,4012,1931,3969,4948,1388,1571,187,334,374,356,2064,3186,8041037
08041038,3162,13,374,619,748,709,426,273,2146,13857,3044,1973,3035,3150,1681,1964,187,354,374,105,717,1095,8041038
08041039,1720,6,154,1055,296,131,65,13,93,5801,1239,327,1231,1710,165,183,2,6,4,160,1042,1541,8041039
08041040,3505,36,332,849,1026,763,356,143,1111,14413,3042,1421,3027,3488,1105,1185,97,178,194,219,1663,2189,8041040
