id,inhabitants,apartments,apartments_with_1_room,apartments_with_2_rooms,apartments_with_3_rooms,apartments_with_4_rooms,apartments_with_5_rooms,apartments_with_6_rooms,apartments_with_7_or_more_apartments,apartments_with_7_rooms_or_more,apartments_rooms,apartments_living_area,residential_buildings,residential_buildings_living_area,residential_buildings_apartments,residential_buildings_with_1_apartment,residential_buildings_with_1_apartment_living_area,residential_buildings_with_2_apartments,residential_buildings_with_2_apartments_living_area,residential_buildings_with_2_apartments_apartments,residential_buildings_with_3_apartments,residential_buildings_with_3_apartments_living_area,residential_buildings_with_3_apartments_apartments
090101,6474,344.0,1870,2438,1222,466,85.0,49,400,19526,4321,485,4271,6402,21.0,23.0,4.0,9.0,8.0,460,4238,6373,18020203
090102,6891,236.0,1801,2547,1592,563,111.0,41,310,21638,4156,758,4063,6720,58.0,59.0,4.0,7.0,8.0,696,3997,6654,18020403
090103,10371,218.0,2156,3446,2996,1153,270.0,132,1022,35259,6929,2083,6885,10313,1010.0,1135.0,65.0,116.0,130.0,1008,5634,9173,18020603
090104,10640,497.0,1766,3942,2950,890,376.0,219,1689,36050,7484,2540,7335,10379,1429.0,1659.0,105.0,187.0,210.0,1006,5489,8740,18020803
090205,12107,845.0,1971,5386,3121,605,104.0,75,605,37683,7608,1353,7401,11638,237.0,227.0,13.0,25.0,26.0,1103,7149,11375,18041003
090206,6461,381.0,1122,2501,1712,608,97.0,40,309,20907,4228,1041,4108,6256,481.0,443.0,12.0,19.0,24.0,548,3646,5751,18041203
090207,10699,761.0,2390,3877,2474,873,192.0,132,1175,33760,7025,2090,6893,10516,1012.0,956.0,64.0,108.0,128.0,1014,5829,9376,18041403
090208,6051,139.0,842,2142,2235,535,67.0,91,722,20988,3983,807,3927,5958,200.0,241.0,37.0,72.0,74.0,570,3613,5684,18041603
090309,12128,309.0,1814,3212,3139,2199,992.0,463,3584,46660,9972,5081,9810,11754,4105.0,4499.0,245.0,436.0,490.0,731,4875,7159,27092706
090310,5866,139.0,374,1432,1427,1398,757.0,339,2655,25078,5199,3863,5118,5734,3255.0,3422.0,288.0,487.0,576.0,320,1209,1903,9031001
090311,3420,97.0,517,872,1123,517,160.0,134,1075,12859,2700,969,2666,3381,582.0,701.0,66.0,132.0,132.0,321,1832,2667,9031101
090312,2052,15.0,139,376,528,472,305.0,217,1754,9477,2192,1528,2161,2004,1314.0,1571.0,130.0,248.0,260.0,84,342,430,18062403
090413,8956,100.0,817,2514,3425,1330,533.0,237,1886,34710,6667,2586,6644,8924,1852.0,2074.0,143.0,258.0,286.0,591,4313,6786,18082603
090414,3639,337.0,676,1188,957,336,101.0,44,348,11715,2579,500,2534,3431,339.0,350.0,16.0,34.0,32.0,145,2151,3060,18082803
090415,3943,89.0,575,1420,1299,466,66.0,28,223,13644,2671,467,2616,3870,67.0,90.0,27.0,55.0,54.0,373,2470,3749,9041501
090416,3091,10.0,177,652,910,704,429.0,209,1654,13708,3075,2481,3050,3062,2232.0,2391.0,155.0,279.0,310.0,94,381,520,9041601
090517,9992,263.0,748,3099,3996,1287,375.0,224,1775,37500,7422,2257,7217,9631,880.0,1032.0,212.0,420.0,424.0,1165,5767,8327,18103403
090518,4338,24.0,292,839,1173,978,608.0,424,3334,19689,4489,3131,4397,4188,2631.0,3052.0,312.0,598.0,624.0,188,747,933,9051801
090519,6434,145.0,1115,2494,1999,556,100.0,25,207,21440,4631,761,4544,6307,102.0,121.0,16.0,30.0,32.0,643,4393,6173,9051901
090520,7270,93.0,497,2000,2806,1143,443.0,288,2280,28964,5451,2582,5363,7133,1700.0,1933.0,175.0,300.0,350.0,707,3130,5083,9052001
