id,inhabitants,apartments,apartments_with_1_room,apartments_with_2_rooms,apartments_with_3_rooms,apartments_with_4_rooms,apartments_with_5_rooms,apartments_with_6_rooms,apartments_with_7_or_more_apartments,apartments_with_7_rooms_or_more,apartments_rooms,apartments_living_area,residential_buildings,residential_buildings_living_area,residential_buildings_apartments,residential_buildings_with_1_apartment,residential_buildings_with_1_apartment_living_area,residential_buildings_with_2_apartments,residential_buildings_with_2_apartments_living_area,residential_buildings_with_2_apartments_apartments,residential_buildings_with_3_apartments,residential_buildings_with_3_apartments_living_area,residential_buildings_with_3_apartments_apartments
3010101,2248,126,415,601,572,362,98,74,598,8043,1707,624,1684,2200,402.0,477.0,67.0,122.0,134.0,155,1086,1664,3010101
3010102,6214,218,1073,1245,2464,1011,156,47,365,22311,3913,713,3827,5978,303.0,337.0,18.0,31.0,36.0,392,3459,5639,3010102
3010104,44,1,8,10,17,4,3,1,10,163,29,18,29,44,10.0,9.0,3.0,7.0,6.0,5,13,28,3010104
3020203,993,15,60,215,314,193,125,71,545,4296,951,778,947,988,697.0,705.0,42.0,84.0,84.0,39,157,207,3020203
3020209,6979,189,1088,2316,1730,888,418,350,2843,26024,6006,2093,5906,6819,1303.0,1655.0,134.0,260.0,268.0,656,3991,5248,3020209
3020210,5698,217,821,1866,1470,748,360,216,1674,20911,4609,1720,4560,5636,1229.0,1434.0,77.0,147.0,154.0,414,2979,4253,3020210
3020307,8056,146,1027,2121,2036,1618,759,349,2723,32074,7234,3839,7153,7876,3217.0,3670.0,171.0,300.0,342.0,451,3183,4317,3020307
3030405,5355,2,113,2196,1094,1311,533,106,848,21793,3975,1327,3953,5323,860.0,928.0,35.0,62.0,70.0,432,2964,4393,3030405
3030406,3633,34,234,552,939,956,548,370,2913,16895,3802,2831,3725,3535,2476.0,2834.0,242.0,427.0,484.0,113,464,575,3030406
3030711,3296,334,129,457,823,767,507,279,2191,14323,3165,2448,3071,2956,2211.0,2466.0,163.0,282.0,326.0,74,324,419,3030711
3030715,3755,347,283,835,887,795,383,225,1776,15015,3247,2015,3134,3471,1725.0,1981.0,129.0,222.0,258.0,161,931,1488,3030715
3030716,512,1,4,50,148,178,92,39,286,2479,510,484,503,506,464.0,468.0,18.0,29.0,36.0,2,5,6,3030716
3040508,2017,3,167,454,583,400,283,127,995,8724,1946,1109,1935,2005,889.0,1070.0,64.0,116.0,128.0,156,749,988,3040508
3040512,5043,45,415,1616,1744,711,317,195,1564,19720,4040,1470,3941,4941,903.0,1126.0,97.0,180.0,194.0,470,2635,3844,3040512
3040513,1415,25,107,302,358,352,140,131,1090,6267,1421,725,1403,1398,584.0,752.0,53.0,96.0,106.0,88,556,708,3040513
3040614,19666,426,3527,7045,5739,2311,417,201,1601,67229,14346,2327,14058,19241,443.0,575.0,67.0,133.0,134.0,1817,13350,18664,3040614
3040818,19954,476,2533,8124,6599,1982,188,52,395,67743,13092,1991,12911,19705,59.0,70.0,15.0,33.0,30.0,1917,12808,19616,3040818
3050919,2995,9,92,1652,896,260,57,29,221,10596,1880,544,1856,2966,151.0,173.0,29.0,47.0,58.0,364,1637,2757,3050919
3050920,3915,63,509,1722,1107,382,96,36,266,13427,2773,553,2742,3863,117.0,145.0,23.0,43.0,46.0,413,2554,3700,3050920
3050923,5412,194,1055,2435,1242,365,80,41,318,17200,3695,515,3581,5252,44.0,62.0,20.0,36.0,40.0,451,3483,5168,3050923
3050924,3436,102,650,1431,892,267,50,44,384,11282,2423,406,2298,3252,43.0,55.0,17.0,31.0,34.0,346,2212,3175,3050924
3050925,5124,78,788,1975,1603,542,92,46,342,17595,3670,605,3594,5031,61.0,84.0,14.0,23.0,28.0,530,3487,4942,3050925
3051017,2051,53,378,644,583,245,99,49,384,7276,1553,549,1468,1874,367.0,418.0,14.0,23.0,28.0,168,1026,1479,3051017
3051021,3950,5,584,1532,1416,373,30,10,71,13549,2344,431,2331,3937,60.0,66.0,11.0,19.0,22.0,360,2247,3855,3051021
3051022,2385,6,309,615,847,544,56,8,70,8983,1606,255,1601,2379,9.0,11.0,0.0,0.0,0.0,246,1590,2370,3051022
