id,residential_buildings,residential_buildings_living_area,residential_buildings_apartments,residential_buildings_with_1_apartment,residential_buildings_with_1_apartment_living_area,residential_buildings_with_2_apartments,residential_buildings_with_2_apartments_living_area,residential_buildings_with_2_apartments_apartments,residential_buildings_with_3_apartments,residential_buildings_with_3_apartments_living_area,residential_buildings_with_3_apartments_apartments,dormitories,dormitories_living_area,dormitories_apartments
,Anzahl,100 m²,Anzahl,,100 m²,Anzahl,100 m²,Anzahl,,100 m²,Anzahl,,100 m²,Anzahl
01,13474,132181,197648,575,671,184,372,368,12663,129824,192757,52,1314,3948
,9801,104191,151557,298,398,91,176,182,9398,103282,150177,14,334,900
03,37516,158133,216374,19321,22575,1600,2919,3200,16567,132194,192539,28,444,1314
,18058,142738,182256,3985,6768,702,1753,1404,13312,133124,174260,59,1094,2607
05,28349,88814,119601,17542,21028,1605,2977,3210,9185,64567,98384,17,243,465
06,40800,133562,156664,22682,33227,2787,6337,5574,15239,92904,125485,92,1094,2923
,28865,135232,180623,13243,16206,1468,2741,2936,14115,115637,162906,39,647,1538
08,28339,113756,163181,15957,17929,1484,2708,2968,10866,92606,143031,32,513,1225
09,38263,105391,144576,24014,26685,2121,3880,4242,12084,74245,114576,44,581,1744
