id,inhabitants,apartments,apartments_with_1_room,apartments_with_2_rooms,apartments_with_3_rooms,apartments_with_4_rooms,apartments_with_5_rooms,apartments_with_6_rooms,apartments_with_7_or_more_apartments,apartments_with_7_rooms_or_more,apartments_rooms,apartments_living_area,residential_buildings,residential_buildings_living_area,residential_buildings_apartments,residential_buildings_with_1_apartment,residential_buildings_with_1_apartment_living_area,residential_buildings_with_2_apartments,residential_buildings_with_2_apartments_living_area,residential_buildings_with_2_apartments_apartments,residential_buildings_with_3_apartments,residential_buildings_with_3_apartments_living_area,residential_buildings_with_3_apartments_apartments
09010101,6865,345,1977,2619,1307,482,89,46,379,20707,4703,496,4650,6792,19,21,1,2,2,476,4627,6771,9010101
09010102,26,–,3,14,2,4,–,3,22,98,24,7,23,24,3,3,1,3,2,3,17,19,9010102
09010201,2227,18,362,576,818,331,88,34,252,8177,1738,228,1671,2159,–,–,2,4,4,226,1667,2155,9010201
09010202,5010,218,1680,2050,797,234,24,7,58,14288,2556,530,2402,4572,58,59,2,3,4,470,2340,4510,9010202
09010301,9417,232,2161,3355,2742,816,77,34,262,30391,5867,1078,5830,9365,65,87,9,16,18,1004,5727,9282,9010301
09010302,1142,1,37,150,312,345,195,102,788,5456,1221,1024,1214,1136,950,1056,58,108,116,16,50,70,9010302
09010401,4931,273,583,1949,1621,327,118,60,462,16575,3224,1106,3155,4765,618,636,36,59,72,452,2460,4075,9010401
09010402,6513,383,1363,2254,1464,615,265,169,1305,21697,4793,1532,4714,6418,852,1085,69,128,138,611,3501,5428,9010402
09020501,4154,453,1189,1623,640,166,37,46,349,11661,2595,463,2538,4035,174,164,4,8,8,285,2366,3853,9020501
09020502,9253,806,1218,4045,2623,463,67,31,270,28856,5761,936,5593,8846,65,65,9,19,18,862,5509,8763,9020502
09020601,5554,771,1181,1949,1215,398,29,11,89,16093,3501,452,3425,5467,8,14,–,–,–,444,3410,5459,9020601
09020602,1973,92,201,791,572,213,71,33,248,6894,1317,631,1275,1855,474,433,12,19,24,145,822,1357,9020602
09020701,1557,450,396,437,202,47,1,24,304,3906,1026,130,1000,1485,34,26,1,2,2,95,972,1449,9020701
09020702,9924,488,2209,3669,2382,861,197,118,955,31883,6546,2052,6427,9798,1013,979,64,105,128,975,5343,8657,9020702
09020801,1784,19,176,669,717,124,48,31,235,6389,1206,286,1200,1779,101,124,20,32,40,165,1043,1638,9020801
09020802,4526,189,776,1504,1560,414,22,61,494,15189,2939,536,2890,4439,99,117,17,39,34,420,2734,4306,9020802
09030901,6703,245,597,1431,1781,1524,748,377,2919,27883,6112,3901,5997,6461,3312,3705,213,378,426,376,1914,2723,9030901
09030902,2807,63,658,645,983,414,43,1,9,9583,1780,140,1727,2704,–,–,–,–,–,140,1727,2704,9030902
09030903,3609,37,844,1391,547,425,269,96,758,12583,2957,1361,2946,3574,1028,1130,39,72,78,294,1744,2468,9030903
09031001,6463,264,474,1465,1561,1529,812,358,2809,27177,5675,4097,5530,6178,3428,3643,302,513,604,367,1373,2146,9031001
09031101,3955,165,676,1072,1209,532,167,134,1077,14308,3122,1032,3086,3914,595,719,68,137,136,369,2230,3183,9031101
09031201,905,7,44,185,224,211,145,89,721,4192,973,676,967,897,580,692,53,101,106,43,174,211,9031201
09031202,1233,8,102,212,315,280,180,136,1093,5681,1324,923,1300,1193,796,964,84,159,168,43,177,229,9031202
09041301,8201,118,779,2387,3108,1192,454,163,1274,31227,5870,2252,5847,8171,1647,1778,92,158,184,513,3911,6340,9041301
09041302,957,–,38,247,333,166,93,80,651,4188,1007,399,1005,954,247,358,55,108,110,97,539,597,9041302
09041401,3000,336,606,1102,737,145,60,14,122,9009,2029,154,1923,2692,50,61,5,12,10,99,1851,2632,9041401
09041402,747,2,79,138,234,212,49,33,248,3112,622,352,620,745,295,298,11,22,22,46,300,428,9041402
09041501,4232,154,660,1523,1323,472,71,29,231,14352,2864,494,2809,4159,72,96,27,55,54,395,2657,4033,9041501
09041601,3275,10,185,684,964,764,457,211,1675,14525,3278,2595,3254,3246,2330,2527,162,291,324,103,435,592,9041601
09051701,2419,289,130,644,993,230,84,49,380,8487,1605,475,1528,2124,165,212,35,71,70,275,1245,1889,9051701
09051702,8008,108,699,2562,3076,1079,300,184,1466,30157,6102,1834,5948,7809,731,843,184,363,368,919,4741,6710,9051702
09051801,4904,30,519,980,1272,1026,640,437,3434,21500,4953,3285,4859,4751,2742,3211,322,618,644,221,1030,1365,9051801
09051901,6905,318,1268,2588,2043,560,102,26,218,22420,4918,784,4831,6778,102,123,17,31,34,665,4677,6642,9051901
09052001,7547,103,599,2065,2867,1158,458,297,2360,29862,5686,2626,5598,7410,1729,1981,177,305,354,720,3312,5327,9052001
