id,inhabitants,apartments,apartments_with_1_room,apartments_with_2_rooms,apartments_with_3_rooms,apartments_with_4_rooms,apartments_with_5_rooms,apartments_with_6_rooms,apartments_with_7_or_more_apartments,apartments_with_7_rooms_or_more,apartments_rooms,apartments_living_area,residential_buildings,residential_buildings_living_area,residential_buildings_apartments,residential_buildings_with_1_apartment,residential_buildings_with_1_apartment_living_area,residential_buildings_with_2_apartments,residential_buildings_with_2_apartments_living_area,residential_buildings_with_2_apartments_apartments,residential_buildings_with_3_apartments,residential_buildings_with_3_apartments_living_area,residential_buildings_with_3_apartments_apartments
2100102,4080,325,1044,1320,1094,177,110,10.0,78.0,12372,2657,189,2589,3935,10,7,6.0,10.0,12.0,173,2573,3913,2100102
2100103,2540,2,726,976,511,181,131,13.0,98.0,8215,1699,180,1694,2535,7,5,9.0,19.0,18.0,164,1671,2510,2100103
2100104,2491,6,649,909,724,184,19,0.0,0.0,7961,1509,156,1488,2470,14,13,0.0,0.0,0.0,142,1475,2456,2100104
2100105,4524,230,1057,1838,1070,305,16,8.0,58.0,13817,2753,231,2721,4474,8,5,2.0,4.0,4.0,221,2712,4462,2100105
2100106,2146,70,489,688,607,220,52,20.0,154.0,7106,1562,113,1519,2100,2,2,0.0,0.0,0.0,111,1517,2098,2100106
2200207,1088,45,250,417,219,66,76,15.0,110.0,3568,830,84,830,1088,15,16,3.0,9.0,6.0,66,805,1067,2200207
2200208,3072,246,662,1053,724,264,83,40.0,302.0,9745,2256,243,2191,2993,5,4,5.0,12.0,10.0,233,2176,2978,2200208
2200209,6065,351,1458,2127,1379,517,181,52.0,382.0,19217,4590,515,4463,5902,53,73,11.0,25.0,22.0,451,4364,5827,2200209
2200210,6808,328,1525,2784,1574,442,105,50.0,373.0,21239,4730,535,4697,6761,13,12,8.0,12.0,16.0,514,4674,6732,2200210
2200211,8482,613,1819,3050,2084,667,184,65.0,513.0,26689,6196,736,6035,8212,22,27,9.0,13.0,18.0,705,5995,8172,2200211
2200212,4582,414,922,1460,1226,425,101,34.0,258.0,14531,3268,292,3172,4424,6,4,0.0,0.0,0.0,286,3168,4418,2200212
2200213,5803,428,1444,2027,1281,466,117,40.0,295.0,17848,4119,462,4029,5696,20,31,12.0,30.0,24.0,430,3968,5652,2200213
2300314,3598,194,806,1344,888,286,70,10.0,81.0,11321,2502,328,2467,3557,8,8,7.0,9.0,14.0,313,2449,3535,2300314
2300315,4183,371,937,1289,1083,395,72,36.0,292.0,13143,2942,335,2860,4087,11,14,1.0,3.0,2.0,323,2844,4074,2300315
2300316,2405,69,725,840,537,192,27,15.0,110.0,7419,1594,154,1568,2371,5,6,0.0,0.0,0.0,149,1562,2366,2300316
2300417,4243,368,1018,1481,920,347,92,17.0,121.0,12935,2972,330,2915,4188,2,2,0.0,0.0,0.0,328,2913,4186,2300417
2300418,4387,296,1374,1531,856,238,74,18.0,138.0,12833,2927,326,2897,4347,4,3,5.0,15.0,10.0,317,2879,4333,2300418
2300419,5673,354,1452,1957,1417,370,87,36.0,277.0,17446,3888,451,3730,5476,2,4,4.0,4.0,8.0,445,3722,5466,2300419
2400520,2900,70,353,793,1129,546,8,1.0,9.0,10458,1818,83,1815,2896,3,2,0.0,0.0,0.0,80,1813,2893,2400520
2400521,4587,268,848,1844,1171,404,46,6.0,49.0,14525,3021,270,3013,4576,8,8,3.0,3.0,6.0,259,3002,4562,2400521
2400522,6566,219,1438,2780,1611,413,79,26.0,198.0,20616,4464,434,4412,6487,19,27,2.0,2.0,4.0,413,4382,6464,2400522
2400623,7250,438,1535,2907,1703,632,26,9.0,71.0,22428,4421,243,4066,6457,12,12,2.0,3.0,4.0,229,4052,6441,2400623
2400624,6983,924,1294,2652,1732,303,64,14.0,124.0,20419,4461,410,4282,6367,18,17,2.0,4.0,4.0,390,4262,6345,2400624
2400625,543,33,236,181,79,13,1,0.0,0.0,1435,320,27,316,535,1,1,1.0,2.0,2.0,25,314,532,2400625
2500726,5619,314,1534,2311,1177,239,35,9.0,69.0,16497,3592,360,3591,5618,6,5,4.0,3.0,8.0,350,3582,5604,2500726
2500727,3515,139,805,1325,997,196,46,7.0,58.0,11026,2422,247,2420,3513,9,12,7.0,15.0,14.0,231,2393,3490,2500727
